# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.50000000	1.45501072e+00
0.50017504	1.59231606e+00
0.50035009	1.77861561e+00
0.50052513	2.05210685e+00
0.50070018	2.51195735e+00
0.50087522	3.55442414e+00
0.50105026	4.37789064e+01
0.50122531	3.52360938e+00
0.50140035	2.49290804e+00
0.50157539	2.03433954e+00
0.50175044	1.76034802e+00
0.50192548	1.57304193e+00
0.50210053	1.43457192e+00
0.50227557	1.32680644e+00
0.50245061	1.23984585e+00
0.50262566	1.16772875e+00
0.50280070	1.10664754e+00
0.50297574	1.05403663e+00
0.50315079	1.00809507e+00
0.50332583	9.67516408e-01
0.50350088	9.31326777e-01
0.50367592	8.98783351e-01
0.50385096	8.69308327e-01
0.50402601	8.42444585e-01
0.50420105	8.17825086e-01
0.50437609	7.95156218e-01
0.50455114	7.74192798e-01
0.50472618	7.54724555e-01
0.50490123	7.36580089e-01
0.50507627	7.19614340e-01
0.50525131	7.03703603e-01
0.50542636	6.88741643e-01
0.50560140	6.74636649e-01
0.50577644	6.61308804e-01
0.50595149	6.48688344e-01
0.50612653	6.36713986e-01
0.50630158	6.25331734e-01
0.50647662	6.14503217e-01
0.50665166	6.04175806e-01
0.50682671	5.94311412e-01
0.50700175	5.84875886e-01
0.50717679	5.75838513e-01
0.50735184	5.67171579e-01
0.50752688	5.58850005e-01
0.50770193	5.50851031e-01
0.50787697	5.43153949e-01
0.50805201	5.35739871e-01
0.50822706	5.28591527e-01
0.50840210	5.21697031e-01
0.50857714	5.15041017e-01
0.50875219	5.08606845e-01
0.50892723	5.02382193e-01
0.50910228	4.96355680e-01
0.50927732	4.90516774e-01
0.50945236	4.84855715e-01
0.50962741	4.79363438e-01
0.50980245	4.74031519e-01
0.50997749	4.68852108e-01
0.51015254	4.63817888e-01
0.51032758	4.58922745e-01
0.51050263	4.54165935e-01
0.51067767	4.49534979e-01
0.51085271	4.45024275e-01
0.51102776	4.40628563e-01
0.51120280	4.36342902e-01
0.51137784	4.32162645e-01
0.51155289	4.28083415e-01
0.51172793	4.24101088e-01
0.51190298	4.20211770e-01
0.51207802	4.16411787e-01
0.51225306	4.12697663e-01
0.51242811	4.09069684e-01
0.51260315	4.05523098e-01
0.51277819	4.02052940e-01
0.51295324	3.98656412e-01
0.51312828	3.95330861e-01
0.51330333	3.92073764e-01
0.51347837	3.88882726e-01
0.51365341	3.85755465e-01
0.51382846	3.82689810e-01
0.51400350	3.79683692e-01
0.51417854	3.76735139e-01
0.51435359	3.73843319e-01
0.51452863	3.71009768e-01
0.51470368	3.68228318e-01
0.51487872	3.65497333e-01
0.51505376	3.62815245e-01
0.51522881	3.60180557e-01
0.51540385	3.57591834e-01
0.51557889	3.55047702e-01
0.51575394	3.52546843e-01
0.51592898	3.50087995e-01
0.51610403	3.47669946e-01
0.51627907	3.45291533e-01
0.51645411	3.42955595e-01
0.51662916	3.40658417e-01
0.51680420	3.38397596e-01
0.51697924	3.36172140e-01
0.51715429	3.33981098e-01
0.51732933	3.31823553e-01
0.51750438	3.29698621e-01
0.51767942	3.27605452e-01
0.51785446	3.25543227e-01
0.51802951	3.23511156e-01
0.51820455	3.21508477e-01
0.51837959	3.19535669e-01
0.51855464	3.17593851e-01
0.51872968	3.15679254e-01
0.51890473	3.13791217e-01
0.51907977	3.11929101e-01
0.51925481	3.10092291e-01
0.51942986	3.08280190e-01
0.51960490	3.06492221e-01
0.51977994	3.04727827e-01
0.51995499	3.02986468e-01
0.52013003	3.01267621e-01
0.52030508	2.99570780e-01
