# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.50000000	9.95480921e+01
0.50017504	2.80506266e+01
0.50035009	1.94306967e+01
0.50052513	1.57484159e+01
0.50070018	1.35830900e+01
0.50087522	1.21143349e+01
0.50105026	1.10338124e+01
0.50122531	1.01956988e+01
0.50140035	9.52089938e+00
0.50157539	8.96230695e+00
0.50175044	8.48988397e+00
0.50192548	8.08345255e+00
0.50210053	7.72888846e+00
0.50227557	7.41596945e+00
0.50245061	7.13718891e+00
0.50262566	6.88665842e+00
0.50280070	6.65987129e+00
0.50297574	6.45327376e+00
0.50315079	6.26401549e+00
0.50332583	6.08978004e+00
0.50350088	5.92866276e+00
0.50367592	5.77908120e+00
0.50385096	5.63970823e+00
0.50402601	5.50942133e+00
0.50420105	5.38726381e+00
0.50437609	5.27244538e+00
0.50455114	5.16432590e+00
0.50472618	5.06250153e+00
0.50490123	4.96607755e+00
0.50507627	4.87458652e+00
0.50525131	4.78761589e+00
0.50542636	4.70479994e+00
0.50560140	4.62581314e+00
0.50577644	4.55036469e+00
0.50595149	4.47819383e+00
0.50612653	4.40906603e+00
0.50630158	4.34277023e+00
0.50647662	4.27917839e+00
0.50665166	4.21805086e+00
0.50682671	4.15922956e+00
0.50700175	4.10257029e+00
0.50717679	4.04794119e+00
0.50735184	3.99522144e+00
0.50752688	3.94430006e+00
0.50770193	3.89507494e+00
0.50787697	3.84745191e+00
0.50805201	3.80134402e+00
0.50822706	3.75667076e+00
0.50840210	3.71338368e+00
0.50857714	3.67141809e+00
0.50875219	3.63071726e+00
0.50892723	3.59117892e+00
0.50910228	3.55274740e+00
0.50927732	3.51537067e+00
0.50945236	3.47900011e+00
0.50962741	3.44359018e+00
0.50980245	3.40909817e+00
0.50997749	3.37548402e+00
0.51015254	3.34271007e+00
0.51032758	3.31074580e+00
0.51050263	3.27959659e+00
0.51067767	3.24918654e+00
0.51085271	3.21948600e+00
0.51102776	3.19046698e+00
0.51120280	3.16210301e+00
0.51137784	3.13436904e+00
