# z/w V/V0
0.5 -1.0000000000
0.505025 -0.9930945659
0.51005 -0.9861891318
0.515075 -0.9792836976
0.520101 -0.9723782635
0.525126 -0.9654873825
0.530151 -0.9585892249
0.535176 -0.9517056204
0.540201 -0.9448292924
0.545226 -0.9379602410
0.550251 -0.9310984661
0.555276 -0.9242512443
0.560302 -0.9174112990
0.565327 -0.9105859068
0.570352 -0.9037823442
0.575377 -0.8969860582
0.580402 -0.8902043252
0.585427 -0.8834444218
0.590452 -0.8766990715
0.595477 -0.8699755508
0.600503 -0.8632738598
0.605528 -0.8565867218
0.610553 -0.8499286899
0.615578 -0.8432852112
0.620603 -0.8366708385
0.625628 -0.8300855721
0.630653 -0.8235221352
0.635678 -0.8169805280
0.640704 -0.8104680269
0.645729 -0.8039919085
0.650754 -0.7975376197
0.655779 -0.7911124371
0.660804 -0.7847163606
0.665829 -0.7783566668
0.670854 -0.7720260791
0.675879 -0.7657245976
0.680905 -0.7594594988
0.68593 -0.7532235061
0.690955 -0.7470238961
0.69598 -0.7408606689
0.701005 -0.7347338243
0.70603 -0.7286433623
0.711055 -0.7225856448
0.71608 -0.7165657653
0.721106 -0.7105829962
0.726131 -0.7046380650
0.731156 -0.6987316995
0.736181 -0.6928631720
0.741206 -0.6870332101
0.746231 -0.6812425415
0.751256 -0.6754904386
0.756281 -0.6697790843
0.761307 -0.6641070233
0.766332 -0.6584757109
0.771357 -0.6528844195
0.776382 -0.6473338766
0.781407 -0.6418240824
0.786432 -0.6363550368
0.791457 -0.6309274675
0.796482 -0.6255406467
0.801508 -0.6201960299
0.806533 -0.6148921617
0.811558 -0.6096297698
0.816583 -0.6044095817
0.821608 -0.5992308700
0.826633 -0.5940936345
0.831658 -0.5889986029
0.836683 -0.5839450476
0.841709 -0.5789329685
0.846734 -0.5739623657
0.851759 -0.5690339669
0.856784 -0.5641470443
0.861809 -0.5593015979
0.866834 -0.5544976278
0.871859 -0.5497351340
0.876884 -0.5450133888
0.88191 -0.5403331199
0.886935 -0.5356943272
0.89196 -0.5310955555
0.896985 -0.5265382600
0.90201 -0.5220209855
0.907035 -0.5175444596
0.91206 -0.5131079547
0.917085 -0.5087121984
0.922111 -0.5043557354
0.927136 -0.5000392933
0.932161 -0.4957621445
0.937186 -0.4915242891
0.942211 -0.4873257269
0.947236 -0.4831657304
0.952261 -0.4790442996
0.957286 -0.4749614344
0.962312 -0.4709171348
0.967337 -0.4669106732
0.972362 -0.4629420497
0.977387 -0.4590105364
0.982412 -0.4551161335
0.987437 -0.4512588410
0.992462 -0.4474386588
0.997487 -0.4436541316
1.00251 -0.4399067148
1.00754 -0.4361942253
1.01256 -0.4325181186
1.01759 -0.4288769392
1.02261 -0.4252706872
1.02764 -0.4216993626
1.03266 -0.4181629653
1.03769 -0.4146607678
1.04271 -0.4111920424
1.04774 -0.4077575167
1.05276 -0.4043557354
1.05779 -0.4009874261
1.06281 -0.3976518613
1.06784 -0.3943490410
1.07286 -0.3910782373
1.07789 -0.3878394505
1.08291 -0.3846326804
1.08794 -0.3814571994
1.09296 -0.3783122799
1.09799 -0.3751986495
1.10302 -0.3721155805
1.10804 -0.3690623454
1.11307 -0.3660396717
1.11809 -0.3630461041
1.12312 -0.3600823704
1.12814 -0.3571477428
1.13317 -0.3542422214
1.13819 -0.3513643508
1.14322 -0.3485155863
1.14824 -0.3456944727
1.15327 -0.3429010100
1.15829 -0.3401351981
1.16332 -0.3373963093
1.16834 -0.3346850715
1.17337 -0.3319993015
1.17839 -0.3293404546
1.18342 -0.3267078034
1.18844 -0.3241013476
1.19347 -0.3215203598
1.19849 -0.3189641121
1.20352 -0.3164333324
1.20854 -0.3139272928
1.21357 -0.3114452659
1.21859 -0.3089879792
1.22362 -0.3065547050
1.22864 -0.3041454434
1.23367 -0.3017594668
1.23869 -0.2993967750
1.24372 -0.2970573682
1.24874 -0.2947405187
1.25377 -0.2924462264
1.25879 -0.2901737637
1.26382 -0.2879238583
1.26884 -0.2856957825
1.27387 -0.2834895363
1.27889 -0.2813043921
1.28392 -0.2791403499
1.28894 -0.2769974096
1.29397 -0.2748755712
1.29899 -0.2727733795
1.30402 -0.2706922898
1.30905 -0.2686308467
1.31407 -0.2665890503
1.3191 -0.2645669005
1.32412 -0.2625643974
1.32915 -0.2605808132
1.33417 -0.2586161481
1.3392 -0.2566704020
1.34422 -0.2547428472
1.34925 -0.2528342114
1.35427 -0.2509437669
1.3593 -0.2490707862
1.36432 -0.2472159967
1.36935 -0.2453786710
1.37437 -0.2435588090
1.3794 -0.2417564106
1.38442 -0.2399707483
1.38945 -0.2382018220
1.39447 -0.2364496318
1.3995 -0.2347141776
1.40452 -0.2329947318
1.40955 -0.2312912944
1.41457 -0.2296038653
1.4196 -0.2279324446
1.42462 -0.2262763047
1.42965 -0.2246354455
1.43467 -0.2230098670
1.4397 -0.2213995692
1.44472 -0.2198045522
1.44975 -0.2182240882
1.45477 -0.2166581774
1.4598 -0.2151060919
1.46482 -0.2135692872
1.46985 -0.2120463079
1.47487 -0.2105371540
1.4799 -0.2090418255
1.48492 -0.2075595948
1.48995 -0.2060919172
1.49497 -0.2046373374
1.5 -0.2031958553
