# z/w V/V0
0.5 -1.0017681986
0.505025 -0.9873169951
0.51005 -0.9729094508
0.515075 -0.9585528422
0.520101 -0.9442908287
0.525126 -0.9301379632
0.530151 -0.9161233519
0.535176 -0.9022688244
0.540201 -0.8885962104
0.545226 -0.8751200629
0.550251 -0.8618622115
0.555276 -0.8488226562
0.560302 -0.8360232267
0.565327 -0.8234639229
0.570352 -0.8111520214
0.575377 -0.7990947987
0.580402 -0.7872922549
0.585427 -0.7757443898
0.590452 -0.7644512035
0.595477 -0.7534126961
0.600503 -0.7426215909
0.605528 -0.7320778881
0.610553 -0.7217764939
0.615578 -0.7117144978
0.620603 -0.7018868062
0.625628 -0.6922875979
0.630653 -0.6829117793
0.635678 -0.6737542568
0.640704 -0.6648099368
0.645729 -0.6560722706
0.650754 -0.6475354367
0.655779 -0.6391950694
0.660804 -0.6310446197
0.665829 -0.6230797217
0.670854 -0.6152938266
0.675879 -0.6076818407
0.680905 -0.6002393981
0.68593 -0.5929606776
0.690955 -0.5858413133
0.69598 -0.5788762115
0.701005 -0.5720610065
0.70603 -0.5653898769
0.711055 -0.5588599121
0.71608 -0.5524667462
0.721106 -0.5462052857
0.726131 -0.5400726198
0.731156 -0.5340636552
0.736181 -0.5281762086
0.741206 -0.5224051867
0.746231 -0.5167476788
0.751256 -0.5112007742
0.756281 -0.5057601071
0.761307 -0.5004242221
0.766332 -0.4951880257
0.771357 -0.4900500626
0.776382 -0.4850066944
0.781407 -0.4800557383
0.786432 -0.4751942836
0.791457 -0.4704194196
0.796482 -0.4657296912
0.801508 -0.4611214600
0.806533 -0.4565932707
0.811558 -0.4521429403
0.816583 -0.4477682859
0.821608 -0.4434663969
0.826633 -0.4392365457
0.831658 -0.4350758215
0.836683 -0.4309827692
0.841709 -0.4269559333
0.846734 -0.4229931309
0.851759 -0.4190929068
0.856784 -0.4152530780
0.861809 -0.4114729167
0.866834 -0.4077502401
0.871859 -0.4040843205
0.876884 -0.4004729749
0.88191 -0.3969154757
0.886935 -0.3934103676
0.89196 -0.3899561952
0.896985 -0.3865515033
0.90201 -0.3831955642
0.907035 -0.3798869226
0.91206 -0.3766248508
0.917085 -0.3734078936
0.922111 -0.3702353232
0.927136 -0.3671056844
0.932161 -0.3640182496
0.937186 -0.3609722909
0.942211 -0.3579670809
0.947236 -0.3550011642
0.952261 -0.3520738132
0.957286 -0.3491835725
0.962312 -0.3463311698
0.967337 -0.3435151498
0.972362 -0.3407340571
0.977387 -0.3379878918
0.982412 -0.3352759263
0.987437 -0.3325974328
0.992462 -0.3299509561
0.997487 -0.3273372239
1.00251 -0.3247540530
1.00754 -0.3222021713
1.01256 -0.3196808511
1.01759 -0.3171886370
1.02261 -0.3147255290
1.02764 -0.3122907995
1.03266 -0.3098844486
1.03769 -0.3075050208
1.04271 -0.3051532439
1.04774 -0.3028269348
1.05276 -0.3005275490
1.05779 -0.2982536310
1.06281 -0.2960044532
1.06784 -0.2937800157
1.07286 -0.2915795908
1.07789 -0.2894031784
1.08291 -0.2872500509
1.08794 -0.2851194807
1.09296 -0.2830121955
1.09799 -0.2809274675
1.10302 -0.2788638414
1.10804 -0.2768220450
1.11307 -0.2748013505
1.11809 -0.2728017580
1.12312 -0.2708225398
1.12814 -0.2688636959
1.13317 -0.2669244986
1.13819 -0.2650049480
1.14322 -0.2631050441
1.14824 -0.2612233315
1.15327 -0.2593612655
1.15829 -0.2575166633
1.16332 -0.2556909800
1.16834 -0.2538827604
1.17337 -0.2520920045
1.17839 -0.2503194400
1.18342 -0.2485628838
1.18844 -0.2468237914
1.19347 -0.2451014349
1.19849 -0.2433958145
1.20352 -0.2417054749
1.20854 -0.2400318712
1.21357 -0.2383735483
1.21859 -0.2367312338
1.22362 -0.2351034724
1.22864 -0.2334917193
1.23367 -0.2318945193
1.23869 -0.2303118724
1.24372 -0.2287437786
1.24874 -0.2271902378
1.25377 -0.2256505225
1.25879 -0.2241246325
1.26382 -0.2226132957
1.26884 -0.2211150566
1.27387 -0.2196299153
1.27889 -0.2181585994
1.28392 -0.2167003813
1.28894 -0.2152545333
1.29397 -0.2138217830
1.29899 -0.2124021306
1.30402 -0.2109948482
1.30905 -0.2095992083
1.31407 -0.2082159385
1.3191 -0.2068450389
1.32412 -0.2054857816
1.32915 -0.2041388945
1.33417 -0.2028029223
1.3392 -0.2014785924
1.34422 -0.2001659051
1.34925 -0.1988641325
1.35427 -0.1975732747
1.3593 -0.1962933318
1.36432 -0.1950243036
1.36935 -0.1937661903
1.37437 -0.1925189918
1.3794 -0.1912819804
1.38442 -0.1900551562
1.38945 -0.1888385191
1.39447 -0.1876320692
1.3995 -0.1864358064
1.40452 -0.1852490031
1.40955 -0.1840723870
1.41457 -0.1829052304
1.4196 -0.1817475333
1.42462 -0.1806000233
1.42965 -0.1794612452
1.43467 -0.1783319265
1.4397 -0.1772113398
1.44472 -0.1761002125
1.44975 -0.1749985447
1.45477 -0.1739048811
1.4598 -0.1728206770
1.46482 -0.1717452048
1.46985 -0.1706777367
1.47487 -0.1696190005
1.4799 -0.1685689961
1.48492 -0.1675277236
1.48995 -0.1664937276
1.49497 -0.1654684635
1.5 -0.1644512035
