79 E(eV) e

0 11.700 0.10000010000000001
0.31 11.7608 0.10000034294
0.4959 11.8501 0.10000001721200001
0.8093 12.0993 0.1000000139136
1.084 12.4574 0.1000000105885
1.5 13.488 0.138
1.6 13.793 0.157
1.7 14.079 0.178
1.8 14.413 0.199
1.9 14.797 0.226
2 15.254 0.272
2.1 15.754 0.33599999999999997
2.2 16.334 0.36
2.3 16.994 0.496
2.4 17.761 0.608
2.5 18.661 0.73
2.6 19.724 0.903
2.7 20.987 1.2930000000000001
2.8 22.565 1.6480000000000001
2.9 24.574 2.117
3 27.197 2.907
3.1 30.874 4.420999999999999
3.2 36.355 7.736
3.3 43.264 17.817
3.4 35.224 35.382
3.5 22.394 33.918
3.6 19.124 31.732000000000003
3.7 17.231 31.627000000000002
3.8 15.531 32.329
3.9 13.965 33.667
4 12.24 36.039
4.1 9.364 40.047000000000004
4.2 2.371 45.448
4.3 -12.404 44.195
4.4 -18.818 33.45
4.5 -19.815 25.019000000000002
4.6 -17.931 18.701
4.7 -15.19 15.193999999999999
4.8 -13.087 13.293
4.9 -11.507 12.074
5 -10.242 11.295
5.1 -9.291 10.876
5.2 -8.724 10.754999999999999
5.3 -8.751 10.686
5.4 -9.168 10.007
5.5 -9.106 8.946
5.6 -8.726 8.099
5.7 -8.325 7.5
5.8 -7.987 6.997999999999999
5.9 -7.721 6.56
6 -7.443 5.976999999999999
6.5 -5.372 4.631799999999999
7 -4.3508 3.4744
7.5 -3.1476 2.684
8 -2.4592 2.2294
8.5 -1.9019 1.87
9 -1.6296 1.629
9.5 -1.3832 1.4674
10 -1.2528 1.3546
10.5 -1.1115 1.3508
11 -0.8532 1.2024000000000001
11.5 -0.6533 0.9556
12 -0.5461 0.814
12.5 -0.3927 0.7535999999999999
13 -0.3393 0.7424
13.5 -0.2552 0.7485999999999999
14 -0.1887 0.7016
14.5 -0.1605 0.6612
15 -0.1313 0.6016
15.5 -0.0837 0.5284
16 -0.0081 0.42800000000000005
16.5 0.0497 0.3496
17 0.0975 0.30000000000000004
17.5 0.1495 0.2848
18 0.2077 0.2764
18.5 0.2659 0.268
19 0.316348888 0.261052703
19.5 0.351295551 0.25701081000000003
20 0.362988878 0.25732702500000004

w(eV) e1 e2

taken from Aspnes and Studna, PRB 27, 985 (1983)
