79 E(eV) e

0      11.700  0.0000001
0.31   11.7608 3.4294e-07
0.4959 11.8501 1.7212e-08
0.8093 12.0993 1.39136e-08
1.084  12.4574 1.05885e-08
1.5 13.488 0.038
1.6 13.793 0.057
1.7 14.079 0.078
1.8 14.413 0.099
1.9 14.797 0.126
2 15.254 0.172
2.1 15.754 0.236
2.2 16.334 0.26
2.3 16.994 0.396
2.4 17.761 0.508
2.5 18.661 0.63
2.6 19.724 0.803
2.7 20.987 1.193
2.8 22.565 1.548
2.9 24.574 2.017
3 27.197 2.807
3.1 30.874 4.321
3.2 36.355 7.636
3.3 43.264 17.717
3.4 35.224 35.282
3.5 22.394 33.818
3.6 19.124 31.632
3.7 17.231 31.527
3.8 15.531 32.229
3.9 13.965 33.567
4 12.24 35.939
4.1 9.364 39.947
4.2 2.371 45.348
4.3 -12.404 44.095
4.4 -18.818 33.35
4.5 -19.815 24.919
4.6 -17.931 18.601
4.7 -15.19 15.094
4.8 -13.087 13.193
4.9 -11.507 11.974
5 -10.242 11.195
5.1 -9.291 10.776
5.2 -8.724 10.655
5.3 -8.751 10.586
5.4 -9.168 9.907
5.5 -9.106 8.846
5.6 -8.726 7.999
5.7 -8.325 7.4
5.8 -7.987 6.898
5.9 -7.721 6.46
6 -7.443 5.877
 6.5 -5.372 4.5318
 7 -4.3508 3.3744
 7.5 -3.1476 2.584
 8 -2.4592 2.1294
 8.5 -1.9019 1.77
 9 -1.6296 1.529
 9.5 -1.3832 1.3674
 10 -1.2528 1.2546
 10.5 -1.1115 1.2508
 11 -0.8532 1.1024
 11.5 -0.6533 0.8556
 12 -0.5461 0.714
 12.5 -0.3927 0.6536
 13 -0.3393 0.6424
 13.5 -0.2552 0.6486
 14 -0.1887 0.6016
 14.5 -0.1605 0.5612
 15 -0.1313 0.5016
 15.5 -0.0837 0.4284
 16 -0.0081 0.328
 16.5 0.0497 0.2496
 17 0.0975 0.2
 17.5 0.1495 0.1848
 18 0.2077 0.1764
 18.5 0.2659 0.168
 19 0.316348888 0.161052703
 19.5 0.351295551 0.15701081
 20 0.362988878 0.157327025

w(eV) e1 e2

taken from Aspnes and Studna, PRB 27, 985 (1983)
