#wl	k    . D. E. Aspnes and A. A. Studna. Phys. Rev. B 27, 985-1009 (1983)
0.2066	2.774
0.2101	2.831
0.2138	2.873
0.2175	2.866
0.2214	2.846
0.2254	2.842
0.2296	2.854
0.2339	2.897
0.2384	2.973
0.2431	3.073
0.2480	3.197
0.2530	3.342
0.2583	3.509
0.2638	3.709
0.2695	3.960
0.2755	4.297
0.2818	4.669
0.2883	4.507
0.2952	4.009
0.3024	3.614
0.3100	3.336
0.3179	3.137
0.3263	2.986
0.3351	2.863
0.3444	2.759
0.3542	2.667
0.3647	2.579
0.3757	2.469
0.3875	2.340
0.3999	2.215
0.4133	2.145
0.4275	2.140
0.4428	2.181
0.4592	2.240
0.4769	2.309
0.4959	2.384
0.5166	2.455
0.5391	2.318
0.5636	2.049
0.5904	1.634
0.6199	0.933
0.6525	0.638
0.6888	0.500
0.7293	0.401
0.7749	0.345
0.8266	0.298
