% Model:              Potential_W500_Wp250_Gap100_V1=0-5um,10um_Correct.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 12 2025, 16:03
% Dimension:          1
% Nodes:              335
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Dependent variable u
0                         -1
6.5939320987059306E-9     -1.0000000000000053
1.0802140267886948E-8     -1.0000000000000082
1.3187864197411861E-8     -1.0000000000000102
1.6926106452810237E-8     -1.0000000000000129
1.978179629611779E-8      -1.0000000000000149
2.1630994049912212E-8     -1.000000000000016
2.6415072687790252E-8     -1.000000000000019
3.259146936426548E-8      -1.000000000000022
3.304679766314534E-8      -1.000000000000022
3.374611976387123E-8      -1.0000000000000222
3.9657549585270586E-8     -1.0000000000000242
4.358453547300054E-8      -1.0000000000000244
4.633600357765233E-8      -1.0000000000000249
5.0458011709448864E-8     -1.0000000000000249
5.301016687117438E-8      -1.0000000000000249
5.471609975155635E-8      -1.0000000000000249
5.967741185053868E-8      -1.0000000000000244
6.590739849400291E-8      -1.0000000000000224
6.637734312042034E-8      -1.0000000000000224
6.707114955808983E-8      -1.0000000000000222
7.308397979264508E-8      -1.0000000000000193
7.715672559734114E-8      -1.000000000000017
7.97906164648698E-8       -1.0000000000000158
8.362469231409013E-8      -1.0000000000000129
8.652707764324651E-8      -1.0000000000000109
8.855551601284522E-8      -1.0000000000000093
9.326353882162324E-8      -1.0000000000000058
9.999999999999998E-8      -1
1.0746473919846331E-7     -0.9686133014310323
1.1264647830534863E-7     -0.9470369159402336
1.1492947839692664E-7     -0.937372554401465
1.1821833565549718E-7     -0.9235841807954932
1.2239421759539E-7        -0.9062037286612045
1.2589384400862877E-7     -0.8918500815568873
1.3113759668131035E-7     -0.8700298707601837
1.3816453551152817E-7     -0.8413587208536158
1.3988097576723074E-7     -0.8344047177115231
1.4116184477659702E-7     -0.829319150211298
1.474140130201584E-7      -0.804123801142332
1.5164381423561454E-7     -0.7872146916447842
1.5636091733086787E-7     -0.7688174550960953
1.6235393908229715E-7     -0.745491923141671
1.6600529202487737E-7     -0.7316298962799828
1.7306406392897977E-7     -0.7048883713087387
1.7564966671888686E-7     -0.6953405070241722
1.8639287788807648E-7     -0.6562006482105043
1.873250773785441E-7      -0.652827063063298
1.8809428099394374E-7     -0.6501895858363748
1.9618250148597093E-7     -0.6214558583620095
2.0426040105779401E-7     -0.5942944898899809
2.050399255933977E-7      -0.5915769674020277
2.064811616981E-7         -0.5869099975047534
2.1949736172815307E-7     -0.5443052925483447
2.3169191858936388E-7     -0.5071283457085959
2.339867269670207E-7      -0.4999604963564856
2.361585165463942E-7      -0.4937714826726488
2.4864815674338944E-7     -0.4573851875819991
2.60059711404768E-7       -0.42670616105213777
2.635027050541267E-7      -0.4172913149950034
2.6806137356694677E-7     -0.4058745897961938
2.7817431077765065E-7     -0.3799140708225551
2.8688093182106935E-7     -0.35933925072149786
2.927649156903308E-7      -0.34527019658786284
2.99003863979046E-7       -0.33160598995868296
3.0754909436931036E-7     -0.3123610409208398
3.1656905983319366E-7     -0.2936559702173161
3.2231607747938735E-7     -0.28163825666995135
3.2787636215742873E-7     -0.2710261412233696
3.3705615259146955E-7     -0.25292414855571277
3.475236268486537E-7      -0.234032463921907
3.5336438121110183E-7     -0.2234684612798391
3.590473249967809E-7      -0.21405987666514112
3.6870210564746783E-7     -0.197510745602943
3.7741008177960544E-7     -0.18381674584774654
3.835207549904635E-7      -0.1742661075891782
